,venue_name,venue_slug,primary_category,contact,venue_id,lat,lng,venue_city,venue_address,venue_country,venue_city,venue_country,venue_state,venue_url
0,Elm Street Taproom,elm-street-taproom,Food,"{'twitter': '@ElmStTapRoom', 'venue_url': 'https://www.elmstreettaproom.com/'}",8480496,42.3955,-71.1223,Somerville,256 Elm St,United States,Somerville,United States,MA,https://www.elmstreettaproom.com/
1,Beer Garden Worcester,beer-garden-worcester,Nightlife Spot,"{'twitter': '', 'venue_url': 'http://www.beergardenma.com'}",8251165,42.2614,-71.8009,Worcester,64 Franklin St,United States,Worcester,United States,MA,http://www.beergardenma.com
2,Taphouse 15,taphouse-15,Food,"{'twitter': '@taphouse15', 'venue_url': 'http://taphouse15.com'}",3922538,40.9308,-74.5904,Wharton,75 NJ-15,United States,Wharton,United States,NJ,http://taphouse15.com
3,bisq,bisq,Food,"{'twitter': '', 'venue_url': 'http://www.bisqcambridge.com'}",2981437,42.3731,-71.0951,Cambridge,1071 Cambridge St.,United States,Cambridge,United States,MA,http://www.bisqcambridge.com
4,bisq,bisq,Food,"{'twitter': '', 'venue_url': 'http://www.bisqcambridge.com'}",2981437,42.3731,-71.0951,Cambridge,1071 Cambridge St.,United States,Cambridge,United States,MA,http://www.bisqcambridge.com
5,WeWork Fort Point,wework-fort-point,Professional & Other Places,"{'twitter': '@weworkbos', 'venue_url': 'https://www.wework.com'}",1701644,42.3491,-71.05,Boston,51 Melcher St,United States,Boston,United States,MA,https://www.wework.com
6,Bergamot,bergamot,Food,"{'twitter': '@bergamotbuzz', 'venue_url': 'http://www.bergamotrestaurant.com'}",94595,42.3782,-71.1063,Somerville,118 Beacon St,United States,Somerville,United States,MA,http://www.bergamotrestaurant.com
7,Beer Bones Taproom,beer-bones,Shop & Service,"{'twitter': '', 'venue_url': 'https://beerbonestaproom.com/'}",7454563,42.7279,-73.761,Latham,594 Loudon Rd,United States,Latham,United States,NY,https://beerbonestaproom.com/
8,Cloverleaf Tavern,cloverleaf-tavern,Nightlife Spot,"{'twitter': '@cloverleafinfo', 'venue_url': 'http://www.cloverleaftavern.com'}",13304,40.8412,-74.2786,Caldwell,395 Bloomfield Ave,United States,Caldwell,United States,NJ,http://www.cloverleaftavern.com
9,Bread & Brine,bread-brine,Food,"{'twitter': '', 'venue_url': 'https://www.breadandbrinehoh.com'}",5735318,40.9943,-73.8816,Hastings-on-Hudson,19 Main St,United States,Hastings-on-Hudson,United States,NY,https://www.breadandbrinehoh.com
10,Field and Vine,field-and-vine,Food,"{'twitter': '', 'venue_url': 'https://www.fieldandvinesomerville.com'}",6818213,42.3799,-71.0945,Somerville,Sanborn Ct,United States,Somerville,United States,MA,https://www.fieldandvinesomerville.com
11,Lake George Tavern,lake-george-tavern,Food,"{'twitter': '', 'venue_url': 'https://www.facebook.com/LakeGeorgeTavern/'}",7948486,42.0639,-72.2227,Wales,2 Main St,United States,Wales,United States,MA,https://www.facebook.com/LakeGeorgeTavern/
12,Five Horses Tavern South,five-horses-tavern,Food,"{'twitter': '@5HorsesSouth', 'venue_url': 'http://www.fivehorsestavern.com/boston/'}",951095,42.3417,-71.0806,Boston,535 Columbus Ave.,United States,Boston,United States,MA,http://www.fivehorsestavern.com/boston/
13,District Kitchen and Bar,district-kitchen-and-bar,Food,"{'twitter': '', 'venue_url': 'http://www.district.kitchen'}",3282768,42.4487,-73.2546,Pittsfield,40 West St,United States,Pittsfield,United States,MA,http://www.district.kitchen
14,Ale House,the-ale-house,Nightlife Spot,"{'twitter': '@AleHouseVestal', 'venue_url': 'beerjoint.com'}",3292,42.096,-75.9807,Vestal,3744 Vestal Pkwy E,United States,Vestal,United States,NY,beerjoint.com
15,What Cheer Tavern,what-cheer-tavern,Nightlife Spot,"{'twitter': '@whatcheertavern', 'venue_url': 'http://whatcheertavernri.com'}",407757,41.7909,-71.3964,Providence,228 New York Ave,United States,Providence,United States,RI,http://whatcheertavernri.com
16,The Lighthouse,the-lighthouse,Nightlife Spot,"{'twitter': '@LightHouse_108', 'venue_url': 'https://www.facebook.com/The-Lighthouse-328577149583/'}",382150,42.1596,-72.48,Ludlow,108 Sewall St,United States,Ludlow,United States,MA,https://www.facebook.com/The-Lighthouse-328577149583/
17,Broadsheet Coffee Roasters,broadsheet-coffee-roasters,Food,"{'twitter': '@broadsheetroast', 'venue_url': 'http://broadsheetcoffee.com'}",6579031,42.378,-71.1073,Cambridge,100 Kirkland St,United States,Cambridge,United States,MA,http://broadsheetcoffee.com
18,Homespun Foods,homespun-foods,Food,"{'twitter': '', 'venue_url': 'http://homespunfoods.com'}",713114,41.5069,-73.9727,Beacon,232 Main St,United States,Beacon,United States,NY,http://homespunfoods.com
19,Milk & Hops Chelsea,milk-hops-chelsea,Nightlife Spot,"{'twitter': '@milkandhopsch', 'venue_url': 'http://milkandhops.com'}",4206580,40.7448,-74.0026,New York,166 9th Ave,United States,New York,United States,NY,http://milkandhops.com
20,Forked River Wines and Spirits,forked-river-wines-and-spirits,Shop & Service,"{'twitter': '@FSpirtis', 'venue_url': 'https://www.forkedriverwinesandspirits.com'}",8707118,39.8523,-74.1827,Lacey Township,344 U.S. 9,United States,Lacey Township,United States,NJ,https://www.forkedriverwinesandspirits.com
21,Liam Maguire's Irish Pub,liam-maguire-s-irish-pub,Nightlife Spot,"{'twitter': '', 'venue_url': 'http://liammaguiresirishpub.com'}",204414,41.5521,-70.6146,Falmouth,273 Main St,United States,Falmouth,United States,MA,http://liammaguiresirishpub.com
22,City Tap Fort Point,city-tap-house,Food,"{'twitter': '@CityTapBoston', 'venue_url': 'http://www.boston.citytap.com'}",5778230,42.3499,-71.0469,Boston,10 Boston Wharf Rd,United States,Boston,United States,MA,http://www.boston.citytap.com
23,Five Horses Tavern,five-horses-tavern,Food,"{'twitter': '@5HorsesTavern', 'venue_url': 'http://www.fivehorsestavern.com/somerville/'}",90069,42.3958,-71.1208,Somerville,400 HIGHLAND AVE.,United States,Somerville,United States,MA,http://www.fivehorsestavern.com/somerville/
24,UNION STRAW,union-straw,Food,"{'twitter': '@unionstraw', 'venue_url': 'http://unionstraw.com'}",8583233,42.0658,-71.2492,Foxborough,8 Mechanic St,United States,Foxborough,United States,MA,http://unionstraw.com
25,Picco,picco,Food,"{'twitter': '@piccorestaurant', 'venue_url': 'http://www.piccorestaurant.com'}",1062,42.3448,-71.0705,Boston,513 Tremont St,United States,Boston,United States,MA,http://www.piccorestaurant.com
26,Revolution Hall,revolution-hall,Food,"{'twitter': '', 'venue_url': 'https://www.craftfoodhalls.com/revolution-hall-lexington'}",10283922,42.4727936,-71.2607117,Lexington,3 Maguire Rd,United States,Lexington,United States,MA,https://www.craftfoodhalls.com/revolution-hall-lexington
27,"Franklin, MA",franklin-ma,Outdoors & Recreation,"{'twitter': '', 'venue_url': 'http://town.franklin.ma.us'}",830752,42.0798416,-71.3819427,Franklin,,United States,Franklin,United States,MA,http://town.franklin.ma.us
28,Pastoral - Artisan Pizza + Kitchen and Bar,pastoral-artisan-pizza-kitchen-and-bar,Food,"{'twitter': '', 'venue_url': 'http://www.pastoralfortpoint.com'}",1485171,42.3507614,-71.0490189,Boston,345 Congress St,United States,Boston,United States,MA,http://www.pastoralfortpoint.com
29,City Line Bar and Grill,city-line-bar-and-grill,Nightlife Spot,"{'twitter': '@citylinebar', 'venue_url': 'https://www.citylinebar.com/'}",2090613,42.6771736,-73.8264465,Albany,1200 Western Ave,United States,Albany,United States,NY,https://www.citylinebar.com/
30,NAPA Auto Parts - Vandi Auto Supply Inc,napa-auto-parts-vandi-auto-supply-inc,Shop & Service,"{'twitter': '@napaknowhow', 'venue_url': 'https://www.napaonline.com/stores/ct/putnam/340-school-st'}",10507377,41.9225044,-71.9003601,Brooklyn,340 School St,United States,Brooklyn,United States,CT,https://www.napaonline.com/stores/ct/putnam/340-school-st
31,Rowayton Wine,rowayton-wine,Shop & Service,"{'twitter': '', 'venue_url': 'http://www.stewartswines.com'}",6241743,41.0684586,-73.4432297,Norwalk,158 Rowayton Ave,United States,Norwalk,United States,CT,http://www.stewartswines.com
32,Framingham Liquors,framingham-liquors,Shop & Service,"{'twitter': '', 'venue_url': 'http://framinghamliquors.com'}",1439854,42.2772369,-71.4118347,Framingham,1 Marble St,United States,Framingham,United States,MA,http://framinghamliquors.com
33,Miss Hall's School,miss-hall-s-school,Professional & Other Places,"{'twitter': '@misshallsschool', 'venue_url': 'http://www.misshalls.org'}",3198415,42.4260483,-73.2438736,Pittsfield,492 Holmes Rd,United States,Pittsfield,United States,MA,http://www.misshalls.org
34,Liam Maguire's Irish Pub,liam-maguire-s-irish-pub,Nightlife Spot,"{'twitter': '', 'venue_url': 'http://liammaguiresirishpub.com'}",204414,41.5520668,-70.6146393,Falmouth,273 Main St,United States,Falmouth,United States,MA,http://liammaguiresirishpub.com
35,Three Belles Marina,three-belles-marina,Outdoors & Recreation,"{'twitter': '@3bellesmarina', 'venue_url': 'http://www.threebellesmarina.com'}",810168,41.3386612,-72.1901093,Niantic,113 Oswegatchie Hills Rd,United States,Niantic,United States,CT,http://www.threebellesmarina.com
36,Chicago Marriott Midway,chicago-marriott-midway,Travel & Transport,"{'twitter': '', 'venue_url': 'https://www.marriott.com/hotels/travel/chima-chicago-marriott-midway/?y_source=1_MTI1Njc5MS00NDAtbG9jYXRpb24ud2Vic2l0ZQ=='}",625198,41.7739906,-87.7446136,Chicago,6520 S Cicero Ave,United States,Chicago,United States,IL,https://www.marriott.com/hotels/travel/chima-chicago-marriott-midway/?y_source=1_MTI1Njc5MS00NDAtbG9jYXRpb24ud2Vic2l0ZQ==
37,Fairfield Inn & Suites Boca Raton,fairfield-inn-suites-boca-raton,Travel & Transport,"{'twitter': '@southfloridaffi', 'venue_url': 'https://www.marriott.com/hotels/travel/pbiap-fairfield-inn-and-suites-boca-raton/?y_source=1_Mzg5MDE4NS00NDAtbG9jYXRpb24ud2Vic2l0ZQ=='}",1175616,26.3804111,-80.1098251,Boca Raton,3400 Airport Rd,United States,Boca Raton,United States,FL,https://www.marriott.com/hotels/travel/pbiap-fairfield-inn-and-suites-boca-raton/?y_source=1_Mzg5MDE4NS00NDAtbG9jYXRpb24ud2Vic2l0ZQ==
38,Time Out Market Boston,time-out-market-boston,Food,"{'twitter': '', 'venue_url': 'https://www.timeout.com/boston/time-out-market'}",9094692,42.3439713,-71.1027832,Boston,401 Park Drive,United States,Boston,United States,MA,https://www.timeout.com/boston/time-out-market
39,Time Out Market Boston,time-out-market-boston,Food,"{'twitter': '', 'venue_url': 'https://www.timeout.com/boston/time-out-market'}",9094692,42.3439713,-71.1027832,Boston,401 Park Drive,United States,Boston,United States,MA,https://www.timeout.com/boston/time-out-market
40,Time Out Market Boston,time-out-market-boston,Food,"{'twitter': '', 'venue_url': 'https://www.timeout.com/boston/time-out-market'}",9094692,42.3439713,-71.1027832,Boston,401 Park Drive,United States,Boston,United States,MA,https://www.timeout.com/boston/time-out-market
41,Time Out Market Boston,time-out-market-boston,Food,"{'twitter': '', 'venue_url': 'https://www.timeout.com/boston/time-out-market'}",9094692,42.3439713,-71.1027832,Boston,401 Park Drive,United States,Boston,United States,MA,https://www.timeout.com/boston/time-out-market
42,Dorchester Brewing Company,dorchester-brewing-company,Nightlife Spot,"{'twitter': '@dorchesterbrew', 'venue_url': 'www.dorchesterbrewing.com'}",4367121,42.3221664,-71.0621262,Boston,1250 Massachusetts Ave,United States,Boston,United States,MA,www.dorchesterbrewing.com
