Company,Latitude,Longitude,"Address, City, State & Zip",Salesman Assigned,Product Name,Cases 10/20/2020,Cases 10/21/2020,Cases 10/22/2020,Cases 10/23/2020
The Brew Shoppe,43.4943055,-70.8457343,"191 Emery Mills Rd, Shapleigh, ME 04076",Sean Woods (CC),FAB Pilsner 4 Peace Pilsner 6/4/16,0,0,0,3.5
Towne Liquors,42.0869938,-72.6288034,"384 Walnut St. Ext., Agawam, MA 01001",Brian DiPippo,FAB Squid 3D NEIPA 6/4/16,0,0,0,1
Towne Liquors,42.0869938,-72.6288034,"384 Walnut St. Ext., Agawam, MA 01001",Brian DiPippo,FAB Atlantis Will Prevail 2xNEIPA 6/4/16,0,0,0,1
The Brew Shoppe,43.4943055,-70.8457343,"191 Emery Mills Rd, Shapleigh, ME 04076",Sean Woods (CC),FAB CHAOS 3xNEIPA SHOG 6/4/16,0,0,0,1
Teele Square Liquors,42.4031164,-71.1265016,"1119 Broadway, Somerville, MA 02144",Tyler Corey,FAB 200 Fruited IPA 6/4/16,0,0,0,1
Spruce Creek Provisions,43.1102122,-70.7359694,"290 US 1, Kittery, ME 03904",Bailey Lyon,FAB Squid 3D NEIPA 6/4/16,0,0,0,1
Spruce Creek Provisions,43.1102122,-70.7359694,"290 US 1, Kittery, ME 03904",Bailey Lyon,FAB Cosmic Plankton Fruited Sour 6/4/16,0,0,0,1
RMA Craft Beer & Wine,42.8579661,-70.9307432,"19 Main Street, Amesbury, MA 01913",Caleb Howcroft,FAB Squid 3D NEIPA 6/4/16,0,0,0,1
RMA Craft Beer & Wine,42.8579661,-70.9307432,"19 Main Street, Amesbury, MA 01913",Caleb Howcroft,FAB Atlantis Will Prevail 2xNEIPA 6/4/16,0,0,0,1
Leary's Fine Wines - Amesbury,42.8476397,-70.9111757,"100 MACY ST, Amesbury, MA 01913",Caleb Howcroft,FAB Atlantis Will Prevail 2xNEIPA 6/4/16,0,0,0,1
Atlantic Market & Liquors,42.2837534,-71.0247315,"247 Atlantic St, Quincy, MA 02171",Matt Kemon,FAB Squid 3D NEIPA 6/4/16,0,0,0,1
Personal Samples - MA - Tom Briggs,42.1484073,-71.0728976,"378 Page St, Stoughton, MA 02072",Customer Pickup,FAB Johnny Get Your Raygun DDH IPA 6/4/16,0,0,0,0.17
Wine and Cheese Cask,42.378519,-71.1060981,"407 Washington St., Somerville, MA 02143",Tyler Corey,FAB Squid 3D NEIPA 6/4/16,1,0,0,0
Wine and Cheese Cask,42.378519,-71.1060981,"407 Washington St., Somerville, MA 02143",Tyler Corey,FAB Mosaic Marvel IPA 6/4/16,1,0,0,0
