Company,Latitude,Longitude,"Address, City, State & Zip",Salesman Assigned,Product Name,Cases 1/2/2020,Cases 1/3/2020,Cases 1/4/2020,Cases 1/7/2020,Cases 1/8/2020,Cases 1/9/2020,Cases 1/10/2020,Cases 1/14/2020,Cases 1/15/2020,Cases 1/16/2020,Cases 1/17/2020,Cases 1/21/2020,Cases 1/22/2020,Cases 1/23/2020,Cases 1/24/2020,Cases 1/28/2020,Cases 1/29/2020,Cases 1/30/2020,Cases 1/31/2020,Cases 2/4/2020,Cases 2/5/2020,Cases 2/6/2020,Cases 2/7/2020,Cases 2/10/2020,Cases 2/11/2020,Cases 2/12/2020,Cases 2/13/2020,Cases 2/14/2020,Cases 2/18/2020,Cases 2/19/2020,Cases 2/20/2020,Cases 2/21/2020,Cases 2/22/2020,Cases 2/25/2020,Cases 2/26/2020,Cases 2/27/2020,Cases 2/28/2020,Cases 2/29/2020,Cases 3/2/2020,Cases 3/3/2020,Cases 3/4/2020,Cases 3/5/2020,Cases 3/6/2020,Cases 3/10/2020,Cases 3/11/2020,Cases 3/12/2020,Cases 3/13/2020,Cases 3/14/2020,Cases 3/17/2020,Cases 3/18/2020,Cases 3/19/2020,Cases 3/20/2020,Cases 3/23/2020,Cases 3/24/2020,Cases 3/25/2020,Cases 3/26/2020,Cases 3/27/2020,Cases 3/30/2020,Cases 3/31/2020,Cases 4/1/2020,Cases 4/2/2020,Cases 4/3/2020,Cases 4/6/2020,Cases 4/7/2020,Cases 4/8/2020,Cases 4/9/2020,Cases 4/10/2020,Cases 4/14/2020,Cases 4/15/2020,Cases 4/16/2020,Cases 4/17/2020,Cases 4/21/2020,Cases 4/22/2020,Cases 4/23/2020,Cases 4/24/2020,Cases 4/27/2020,Cases 4/28/2020,Cases 4/29/2020,Cases 4/30/2020,Cases 5/1/2020,Cases 5/4/2020,Cases 5/5/2020,Cases 5/6/2020,Cases 5/7/2020,Cases 5/8/2020,Cases 5/12/2020,Cases 5/13/2020,Cases 5/14/2020,Cases 5/15/2020,Cases 5/19/2020,Cases 5/20/2020,Cases 5/21/2020,Cases 5/22/2020,Cases 5/26/2020,Cases 5/27/2020,Cases 5/28/2020,Cases 5/29/2020,Cases 6/2/2020,Cases 6/3/2020,Cases 6/4/2020,Cases 6/5/2020,Cases 6/8/2020,Cases 6/9/2020,Cases 6/10/2020,Cases 6/11/2020,Cases 6/12/2020,Cases 6/16/2020,Cases 6/17/2020,Cases 6/18/2020,Cases 6/19/2020,Cases 6/22/2020,Cases 6/23/2020,Cases 6/24/2020,Cases 6/25/2020,Cases 6/26/2020,Cases 6/30/2020,Cases 7/1/2020,Cases 7/2/2020,Cases 7/3/2020,Cases 7/7/2020,Cases 7/8/2020,Cases 7/9/2020,Cases 7/14/2020,Cases 7/15/2020,Cases 7/16/2020,Cases 7/17/2020,Cases 7/21/2020,Cases 7/22/2020,Cases 7/23/2020,Cases 7/24/2020,Cases 7/28/2020,Cases 7/29/2020,Cases 7/30/2020,Cases 7/31/2020,Cases 8/4/2020,Cases 8/5/2020,Cases 8/6/2020,Cases 8/7/2020,Cases 8/11/2020,Cases 8/12/2020,Cases 8/13/2020,Cases 8/14/2020,Cases 8/18/2020,Cases 8/19/2020,Cases 8/20/2020,Cases 8/21/2020,Cases 8/24/2020,Cases 8/25/2020,Cases 8/26/2020,Cases 8/27/2020,Cases 8/28/2020,Cases 8/31/2020,Cases 9/1/2020,Cases 9/2/2020,Cases 9/3/2020,Cases 9/4/2020,Cases 9/5/2020,Cases 9/7/2020,Cases 9/8/2020,Cases 9/9/2020,Cases 9/10/2020,Cases 9/11/2020,Cases 9/14/2020,Cases 9/15/2020,Cases 9/16/2020,Cases 9/17/2020,Cases 9/18/2020,Cases 9/22/2020,Cases 9/23/2020,Cases 9/24/2020,Cases 9/25/2020,Cases 9/29/2020,Cases 9/30/2020,Cases 10/1/2020,Cases 10/2/2020,Cases 10/5/2020,Cases 10/6/2020,Cases 10/7/2020,Cases 10/8/2020,Cases 10/9/2020,Cases 10/10/2020,Cases 10/13/2020,Cases 10/14/2020,Cases 10/15/2020,Cases 10/16/2020,Cases 10/20/2020,Cases 10/21/2020,Cases 10/22/2020,Cases 10/23/2020,Cases 10/26/2020,Cases 10/27/2020,Cases 10/28/2020,Cases 10/29/2020,Cases 10/30/2020,Cases 10/31/2020,Cases 11/3/2020,Cases 11/4/2020,Cases 11/5/2020,Cases 11/6/2020
Total,,,,,,41.00,60.00,10.00,32.83,22.00,35.96,23.00,19.00,13.00,29.00,8.00,12.00,9.00,18.00,14.00,9.00,7.00,19.83,20.00,15.00,9.33,25.00,14.00,1.00,82.00,93.00,78.00,73.00,28.00,11.00,23.00,17.00,1.00,14.00,11.00,22.00,10.00,2.00,5.00,36.00,38.50,36.83,22.00,22.00,14.00,7.00,8.83,1.00,12.00,12.00,15.00,7.00,22.00,25.00,22.83,37.83,17.00,4.00,10.00,18.00,15.00,12.00,2.00,19.83,25.00,21.00,28.00,166.00,152.96,180.00,90.79,28.00,29.83,73.92,31.00,1.00,27.50,17.00,54.00,11.00,1.00,28.00,28.00,42.00,13.00,23.00,14.83,34.00,8.00,32.00,16.00,46.00,31.00,14.00,21.00,14.00,6.00,15.00,15.00,16.00,9.00, (1.00),9.00,8.96,14.00,6.00,1.96,3.00,3.67,2.83,1.00,2.00,3.00,1.00,3.00,5.00,3.00,16.00,6.00,3.00,3.00,4.00,15.83,39.00,32.67,19.33,42.96,46.00,49.00,16.33,9.17,4.00,15.83,10.00,36.00,42.00,70.83,20.08,11.63,13.67,23.00,17.21,36.00,39.00,39.00,21.33,1.00,83.00,103.17,127.50,83.00,2.00,25.00,32.83,31.00,12.13,9.00,0.17,9.00,28.00,25.00,16.04, (0.17),32.00,11.58,27.83,10.00,10.00,11.00,14.96,5.79,17.63,12.00,27.00,17.13,3.00,18.00,24.00,34.00,21.50,3.00,17.00,25.17,22.00,23.08,19.00,15.96,31.96,13.67,2.00,14.00,20.83,15.00,14.00,0.17,10.00,5.00,12.92,3.00
Boston Wine Exchange,42.3560315,-71.0575516,"181 Devonshire St., Boston, MA 02110",Matt Kemon,FAB Squid Pro Quo DIPA 6/4/16,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Boston Wine Exchange,42.3560315,-71.0575516,"181 Devonshire St., Boston, MA 02110",Matt Kemon,FAB Balloon Factory IPA 6/4/16,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, (1.00),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yankee Spirits - Norwood,42.1801676,-71.18957790000002,"942 Boston Providence Turnpike, Norwood, MA 02062",Aline Fleuette,FAB Squid Pro Quo DIPA 6/4/16,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yankee Spirits - Norwood,42.1801676,-71.18957790000002,"942 Boston Providence Turnpike, Norwood, MA 02062",Aline Fleuette,FAB Balloon Factory IPA 6/4/16,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yankee Spirits - Attleboro,41.911249,-71.36204669999999,"628 Washington St., Attleboro, MA 02703",Aline Fleuette,FAB Squid Pro Quo DIPA 6/4/16,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yankee Spirits - Attleboro,41.911249,-71.36204669999999,"628 Washington St., Attleboro, MA 02703",Aline Fleuette,FAB Balloon Factory IPA 6/4/16,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Vinal Square Craft Beer House & Premium Liquors,42.639579,-71.38357409999999,"11 Vinal Square, North Chelmsford, MA 01863",Caleb Howcroft,FAB Squid Pro Quo DIPA 6/4/16,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Vinal Square Craft Beer House & Premium Liquors,42.639579,-71.38357409999999,"11 Vinal Square, North Chelmsford, MA 01863",Caleb Howcroft,FAB Balloon Factory IPA 6/4/16,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total Wine - Natick,42.3037214,-71.37872620000002,"Cloverfield Marketplace, Natick, MA 01760",Tom Briggs,FAB Balloon Factory IPA 6/4/16,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
